"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,"Link clicks",Navigation,"Sticker taps",Follows
18072149723587401,17841401475580469,nicki.entenmann,"Nicki Entenmann","A few of you said my link didn’t work yesterday so 
re-linking!  @jshealthvitamins #jshealthpartner",0,"11/14/2025 09:22",https://instagram.com/stories/nicki.entenmann/3765821844939714504,"IG story",,Lifetime,20829,18529,25,3,11,1,197,19520,7,
18057564449282876,17841401475580469,nicki.entenmann,"Nicki Entenmann","One thing I’ve learned as an acne prone girl, is I can’t use what a lot of other people share! 
So I went on a deep dive this year to find products that would finally give me clear skin  @colleenrothschild #crpartner  EARLY30 for 30% off!",59,"11/14/2025 09:31",https://instagram.com/stories/nicki.entenmann/3765826446904854509,"IG story",,Lifetime,20239,17730,35,1,7,3,315,18819,,
17913366936091058,17841401475580469,nicki.entenmann,"Nicki Entenmann","Get 30% off sitewide with code EARLY30 @colleenrothschild #crpartner",60,"11/14/2025 09:31",https://instagram.com/stories/nicki.entenmann/3765826565989566040,"IG story",,Lifetime,18765,17264,25,2,6,5,105,17925,2,
18080840294470238,17841401475580469,nicki.entenmann,"Nicki Entenmann","These 2 are literal angel on earth and have changed my skin & confidence  @colleenrothschild #crpartner  Shop the early Black Friday sale here!
Code: EARLY30 
🥳🥳🥳 Cut these in half to 
last twice as long!",0,"11/14/2025 09:34",https://instagram.com/stories/nicki.entenmann/3765827585096400954,"IG story",,Lifetime,18628,16878,33,1,8,3,252,17476,,
18065269493419271,17841401475580469,nicki.entenmann,"Nicki Entenmann",Amen,15,"11/14/2025 09:35",https://instagram.com/stories/nicki.entenmann/3765828483491152205,"IG story",,Lifetime,18627,16560,340,2,6,26,,18024,,
17858354469488235,17841401475580469,nicki.entenmann,"Nicki Entenmann",,15,"11/14/2025 09:41",https://instagram.com/stories/nicki.entenmann/3765831243183768253,"IG story",,Lifetime,18817,16725,115,32,11,62,,17753,,
18185018614344010,17841401475580469,nicki.entenmann,"Nicki Entenmann","HEY-
So teachers want gift 
cards or cold hard cash
for Christmas Mmkay 
💰🫰🏼💸",26,"11/14/2025 10:39",https://instagram.com/stories/nicki.entenmann/3765860406758910588,"IG story",,Lifetime,24256,21295,118,4,15,31,,22911,,1
18094324837864381,17841401475580469,nicki.entenmann,"Nicki Entenmann","My favorite lifting shoes
are up to 25% off  Leg day",0,"11/14/2025 11:52",https://instagram.com/stories/nicki.entenmann/3765897251404262935,"IG story",,Lifetime,29706,25717,54,0,17,4,771,27447,,
17871612390460128,17841401475580469,nicki.entenmann,"Nicki Entenmann","Flash gifting of 9060 sneaks! 
Winner picked tmw ❤️

Swipe here and DM me your size!",0,"11/14/2025 11:56",https://instagram.com/stories/nicki.entenmann/3765899341904135344,"IG story",,Lifetime,27241,23824,152,5,96,2818,,25520,,
18550027549040539,17841401475580469,nicki.entenmann,"Nicki Entenmann","HBD to our favorite trainer 
@calebfitco 🥳🥳🥳

I see a year older doesn’t change his savage ways on leg day 😒",45,"11/14/2025 13:17",https://instagram.com/stories/nicki.entenmann/3765939965810365793,"IG story",,Lifetime,29902,25970,136,2,55,26,,27081,287,
