Date,Brand,Type,Publisher,Product,Direct to retailer link,Status,Commission,Payment
11/21/25,"Nike (US)","Sale commission","Nicki Entenmann","Nike Free Metcon 6 Women's Workout Shoes","https://rstyle.me/+tYTBcbeq4oXJ5zuq19g7MQ","Open","$8.42",""
11/21/25,"Nike (US)","Sale commission","Nicki Entenmann","Nike Free Metcon 5 Men's Workout Shoes","https://rstyle.me/+_LvKt_qCa7xC_VMuAZFuRg","Open","$5.83",""
11/21/25,"Nike (US)","Sale commission","Nicki Entenmann","Nike Free Metcon 5 Men's Workout Shoes","https://rstyle.me/+_LvKt_qCa7xC_VMuAZFuRg","Open","$7.16",""
11/21/25,"Nike (US)","Sale commission","Nicki Entenmann","Nike Free Metcon 6 Women's Workout Shoes","https://rstyle.me/+tYTBcbeq4oXJ5zuq19g7MQ","Open","$9.84",""
11/21/25,"Nike (US)","Sale commission","Nicki Entenmann","Nike Free Metcon 6 Men's Workout Shoes","https://rstyle.me/+z24rwqPv6-gX0Wsa0EkbQg","Open","$15.98",""
11/21/25,"Walmart (US)","Sale commission","Nicki Entenmann","Best Choice Products 6ft Pre-Lit Holiday Christmas Pine Tree w/ Snow Flocked Branches, 250 Warm W...","https://rstyle.me/+pHPp3PVaR5p0uQ9gV-yJ5g","Open","$1.94",""
11/21/25,"","Payment","","","","Closed","","$349.87"
11/21/25,"Target","Sale commission","Nicki Entenmann","Every Man Jack Harry Potter Holiday Body Wash Gift Set - 3ct","https://rstyle.me/+j7wATPvPCuZU8J-kukejWA","Open","$1.26",""
11/20/25,"Target","Sale commission","Nicki Entenmann","Women's Crewneck Pullover Heritage Novelty Sweater - Wild Fable™","https://rstyle.me/+a19Vt0O104NIS9LNlRz7rQ","Open","$2.45",""
11/20/25,"Amazon (US)","Sale commission","Nicki Entenmann","","","Open","$3.32",""
11/20/25,"Amazon (US)","Sale commission","Nicki Entenmann","","","Open","$10.96",""
11/19/25,"Target","Sale commission","Nicki Entenmann","American Tourister NXT Checkered Hardside Carry On Spinner Suitcase","https://rstyle.me/+o9twOtHaXcLP_RskW-m7pA","Open","$0.78",""
11/19/25,"Target","Sale commission","Nicki Entenmann","American Tourister NXT Checkered Hardside Carry On Spinner Suitcase","https://rstyle.me/+o9twOtHaXcLP_RskW-m7pA","Open","$0.78",""
11/19/25,"Target","Sale commission","Nicki Entenmann","American Tourister NXT Checkered Hardside Carry On Spinner Suitcase","https://rstyle.me/+o9twOtHaXcLP_RskW-m7pA","Open","$0.78",""
11/19/25,"Target","Sale commission","Nicki Entenmann","American Tourister NXT Checkered Hardside Carry On Spinner Suitcase","https://rstyle.me/+o9twOtHaXcLP_RskW-m7pA","Open","$0.78",""
11/19/25,"Target","Sale commission","Nicki Entenmann","American Tourister NXT Checkered Hardside Carry On Spinner Suitcase","https://rstyle.me/+o9twOtHaXcLP_RskW-m7pA","Open","$0.78",""
11/19/25,"Target","Sale commission","Nicki Entenmann","American Tourister NXT Checkered Hardside Carry On Spinner Suitcase","https://rstyle.me/+o9twOtHaXcLP_RskW-m7pA","Open","$0.78",""
