product_name,advertiser_name,image,sku,description,price,currency,url,clicks,commissions,orders,items_sold,active_links,order_conversion_rate,items_sold_conversion_rate
"lululemon Glow Up™ Super-High-Rise Tight 25""",Lululemon (US),https://product-images-cdn.liketoknow.it/Ph.PB0MLP5GKLejRFmrgjlkblErqi0RiUl52kYd8YCKqavgyqrpXzhOpxAoLmzIUFJQR6ctZ3I5sofrbixn0HfC65pkWR_sr3SRmrGMrYaH0bMLUi9CvUBGL?v=2,157685794,Confident to your core. These training tights combine sleek fabric and smoothing waistband technology to keep you feeling sculpted and supported.,118.00,USD,https://shop.lululemon.com/p/womens-leggings/Glow-Up-Super-High-Rise-Tight-25/_/prod11800851?color=0001,4609,1511.62200000000,185,185,111548,0.040138,0.040138
,Amazon (US),,,,,USD,,0,678.41200000000,109,87,153171,0.000000,0.000000
Women's High Rise 90s Relaxed Jean | Women's Bottoms | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/re_jC7uJ4ga0oYOD0u83t3AnsNCNo1LRE1IKAW__ZJNCIvdKVVyiZuheRDKZe7AdFUbhmzzgfUMLJvhJDhvv3ttYHA5H7tN6juEJPgp4su4w9Z0EhSnf0VxQkQ_vnL7Ln7B0RLCT__bW5np0X_l67FnEJUKYq34-?v=2,,"Our classic 90s relaxed fit in a dark wash with a frayed hem. Features a high rise that is fitted at the waist through the seat to show off your best butt. Eases open through the thigh into a full-length, relaxed leg shape. Made from our Vintage Comfort Stretch fabric with structure and slight stretch.",100.00,USD,https://www.abercrombie.com/shop/us/p/high-rise-90s-relaxed-jean-61371821?faceout=model&seq=38&pagefm=navigation-grid&prodvm=navigation-grid,1567,435.83400000000,33,70,87928,0.021059,0.044671
New Balance Gender Inclusive 9060 Sneaker | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/2LwYVoyKTYV2M0W0TPeG5MiBl7v7HQ_xpPXdH85BP3hUNlBg0R8ycBXaG_5bTN3ULYmP8..D8Mts4.w663khESpAUVV4d21zJsdfhFn_SnsUtX01bntsodPOssed0zzM7pN4nzQJnJs7jRm_qhP3cRWqVS2myqj8UltOUotNOIzYuA--?v=2,,"Free shipping and returns on New Balance Gender Inclusive 9060 Sneaker at Nordstrom.com. <p>Chunky proportions, visible tech and forward momentum bring iconic Y2K energy to a sneaker that fuses the best of the past with the comfort of the present. Incorporated sway bars and a translucent heel wrap keep the upper in motion, while the sculpted sole puts a fusion of impact-resistant cushioning under every step.</p>",149.99,USD,https://www.nordstrom.com/s/new-balance-gender-inclusive-9060-sneaker/7714156,345,151.77400000000,12,21,12264,0.034782,0.060869
Women's Off-The-Shoulder Midi Sweater Dress | Women's Clearance | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/_00uwGS7fiif_7TaGqDbg_66wbjWhx52TYg8NQbRuEE8iwSpvPu9C5g9XtBxB8EQIz2R0fDkIHymR6kGBvt.b2mzT4eKDpr4_eh5oXHNOqHzRaEiYFvUERfdeQAYXUeb9dTBZPpr81naOC3fjVp.QYscNL412LFrAdIQjF23PTB6Qs6ZTeEN?v=2,,"Flattering long-sleeve midi sweater dress in our soft ribbed sweater-knit fabric and body-skimming silhouette, featuring an off-the-shoulder fold-over neckline, button-through detail and flirty front-slit detail.",110.00,USD,https://www.abercrombie.com/shop/us/p/off-the-shoulder-midi-sweater-dress-59611342?seq=01&source=googleshopping&cmp=PLA:EVG:20:A:D:US:X:GGL:X:SHOP:X:X:X:X:x:ANF_Google_Shopping_DC_PLA_US_Dresses%26Jumpsuits_X_All%20products_PRODUCT_GROUP&gclsrc=aw.ds&gad_source=1&gad_campaignid=17241426172&gbraid=0AAAAADeAqWPFOYzGOp13Wod9WxAPL7sJ8&gclid=Cj0KCQiAiKzIBhCOARIsAKpKLAM6CG6J6tVEooSu4zOYg1q06k0t-E3lbxcr9TURV9Oz55VuVtuiTPkaAkUHEALw_wcB,225,135.61800000000,12,37,33352,0.053333,0.164444
Camel Hair Double-Breasted Long Wrap Coat,Quince,https://product-images-cdn.liketoknow.it/Ou7hsmaawU_UY9OLPj1di434VrRlGny45uEMNksin17MJrraOjAwTB7jpvK7t_KnZe7g2uDSp_hcTP8kmUcD2RhiokKEtJruMMEbS_nPDcPz_DrguIQn_oGST664u7cVaaPtvEa7fVuGmQch41Azmu1mhNkol18MxP0AIT8WSXb43GZfm75kSnVRtRAtW5VTQ_8CLeQl8hgZNZenfh60r.Q059fzwQL0HR5qk1pv9pW5PMeY2cNNQjsP6m5r?v=2,,"Wrap yourself in the unparalleled luxury of our Camel Hair Double-Breasted Long Wrap Coat, crafted from 100% camel hair. Prized for its ultra-soft texture, durability, warmth, and exceptional breathability, camel hair offers a unique blend of comfort and sophistication—qualities that few materials can match. The exquisite fabric elevates this coat’s classic double-breasted wrap design and will keep you warm in style for years to come.

Engineered to keep you comfortable in up to 2°F / -17°C",350.00,USD,https://www.quince.com/women/camel-hair-double-breasted-long-wrap-coat?color=mocha-brown&gender=women&tracker=collection_page__%2Fwomen%2Fnew-arrivals__categories-Apparel__All%20Products__141,6,130.64100000000,2,9,128,0.333333,1.500000
New Balance Unisex 9060 Sneakers - Brown/Beige/Blue (Size 6.5),"New Balance Athletics, Inc.",https://product-images-cdn.liketoknow.it/irtY7wzcqZwJ6GspQhG0I3Nrqaf9EajkfEUrf9UJzxq86qsYeKmBej0goNajR2PtM5ttA.vU56PLmza0mJ8BuaaZoREKtyJAktQq71rEvwngLQ_FSoom8u6bCTrCeilSegkFMqmJLL0w8nWDB3tEhA9YdRufwrROqgkUxvIzACbB13HnbwrNT9zWQi8-,,"Looking for other options? Shop the 9060 The 9060 is a new expression of the refined style and innovation-led design of the classic 99X series. The 9060 reinterprets familiar 99X elements with a warped sensibility inspired by the proudly futuristic, visible tech aesthetic of the Y2K era. Sway bars, taken from the 990, are expanded and utilized throughout the entire upper for a sense of visible motion, while wavy lines and scaled up proportions on a sculpted pod midsole place an exaggerated emphasis on the familiar cushioning platforms of ABZORB and SBS.",149.99,USD,https://www.newbalance.com/pd/9060/U9060ETN-D-065.html,159,105.88200000000,3,7,540,0.018867,0.044025
"lululemon Glow Up™ Super-High-Rise Tight 25""",Lululemon (US),https://product-images-cdn.liketoknow.it/k0f3PzmgLftMXgYcQVnRekqomG_P5PDCzL0ySc7ui3ZBzT4JOyEuoBa3Zs0kmQ8luCgSXHuYTx4afDtaQLR74CvLYDtMhuWJ6azM_UMZJrxulBjzclagLAt9yxZDcdofoHpR4y.h_9sn4tkT1RAoaBUAV2SQAZeVCH_GNLjPYedVleC1YmM1NQU7UVBPfOZzjPFA9eAe8BU1UeZXWrP9pDQLfy22rTc011NnwWBNadAp8BHcvqsaEZEJzxA8_MsmnRir7BqmUz9Z1qZ4?v=2,154884689,"lululemon activewear, loungewear and footwear for all the ways you love to move. Sweat, grow & connect in performance apparel.",118.00,USD,https://shop.lululemon.com/p/womens-leggings/Glow-Up-Super-High-Rise-Tight-25/_/prod11800851?color=71150&ta=1&taterm=Glow%20up%20&tasid=LohWwCKnfS,478,95.66200000000,22,22,14826,0.046025,0.046025
Samba OG Shoes,adidas (US),https://product-images-cdn.liketoknow.it/495vk9fsL8swoyL3YwnOwrgytF89RWdZdOIinvyMfGlO0FEUuip516Kf2aCgbTpwOmbDylbwQs6fLRn6OoJSWJsl8hpcVc4_wfu.YwGjKqOIuYIfAujHge8Jkr730Frm9oQKNaO_z3t5n6cs.KdYX9cPkfbYLjOhw1wDJoP_Du6sxa4FLJpx9XnA2A2Z1oMcEYasQD4g6fXqomztTE7ZtEcmPDCVvq4s3SIBnb4_VF.PcZWJqX0Bz.c-?v=2,ID0478,"For those who set trends rather than follow them, the adidas Samba OG shoes are a must-have. Originally made for indoor football, these kicks have long transcended their sporty beginnings. A premium leather upper and nubuck overlays come together to form an iconic silhouette that's perfect for stepping out in style. Gold accents and signature 3-Stripes down the side give a subtle nod to adidas heritage. A true classic redefined for today's tastemaker.",100.00,USD,https://www.adidas.com/us/samba-og-shoes/ID0478.html,163,81.53600000000,6,10,960,0.036809,0.061349
All in Favor Contrast Collar Herringbone Bomber Jacket | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/kNRK0dAxIJvrXjKIdXdEAl8CQOOy91S5_lOONwOvXV6e_jKw8dy_7hE34Vjv9mpd805FmAyo8rtM.jz9KOuOZZCbF3SK4_pPCrBVV0Splf8xa65BILiHkI3apIbXmfZZmj7lzOtkq8E8nhXhYEqLj8z1UuORl9zOhCGxF9bZnArEkQ--?v=2,,Free shipping and returns on All in Favor Contrast Collar Herringbone Bomber Jacket at Nordstrom.com. <p>A herringbone pattern and contrasting corduroy collar bring impeccable retro style to this zip-front bomber jacket.</p>,74.00,USD,https://www.nordstrom.com/s/contrast-collar-herringbone-bomber-jacket/8452618,502,70.15400000000,19,44,18396,0.037848,0.087649
