hero_image,date_published,clicks,commissions,orders,items_sold,order_conversion_rate,items_sold_conversion_rate,share_url
https://product-images-cdn.liketoknow.it/9SCL8QdMUpDdhCoQ_1jBZmfom8rWcRewCM3BUZAL3ZiiMRFDkb5mZlR6KFyI.7pyWC4aUkF7U.6xCoQ7EDWTSv2zqtbsecw5Ov4MvE4_usJ364PYkIAwc7ZS5nwUksZzVgPbu439y_y5jFng_TOQ05N5YkplHTDjExmb0wl471n0CCNaD12jQfpSIE4-,2025-10-10T16:29:49+00:00,2543,594.30000000000,68,72,0.026740,0.028313,https://liketk.it/5qNOx
https://product-images-cdn.liketoknow.it/B03J4FGF_Niwc143dRdW2rgbZc_kDD4JrhSqIO0ZVIbOL.EKGs5VfuTj4SnRPSk2cIzZd6Vel1_Auqyl1f3ERBoUHaj4Ni1sTK8DMwyHZh4Ez1.0ZkBhYqA0jAafeC6P8_9dkSOQ0iSrwxyLpVW2mDOZjiIlFNlS7jF4tac98x.jurhf7M2da23N5xw-,2025-11-03T19:18:21+00:00,2021,544.40960000000,42,106,0.020781,0.052449,https://liketk.it/5uEkH
https://product-images-cdn.liketoknow.it/rq5rBprEVR1J.sTNZOEoRxfQtbvvZyIBGrLExwVJBIx8hUcvsmh7Zg2ZamhDJBRmpaBoPcZVqaAshwAXORfIeWnFhVlqmjqwyzht1rc0Xyv2t_HqOxm67e6XWdRuFMEIPxwaXp3ntYs5xWHs1p6E_GAaMbIP4oqUci7Ct.wJRjck.Y.tVpt9XiY_.GQ-,2025-10-21T18:50:28+00:00,2371,436.42620000000,61,66,0.025727,0.027836,https://liketk.it/5rORf
https://product-images-cdn.liketoknow.it/d5AMRWl2WBlpMFGgRH09zM5CETqHxqB5ohaD7R3j7M_NC2n2qeRLsLI0QG8BwDSFsqHi_wyG25tLwPruk7jebsZe9t6g7JzoYI5cS7S182tlYIqztggeOR9a6B0MfCT4KcmxA9OHesrhJFhpvUVffKEW6SwQGFLPg7DvRCik9fY88W7ZbqdRS5JBUHQ-,2025-09-19T16:54:11+00:00,134,357.81900000000,49,49,0.365671,0.365671,https://liketk.it/5owf3
https://product-images-cdn.liketoknow.it/HSXruFT0Gn8phed.xy6NmtjdE.YSYorqT6lGiP4qnJb6acBbja9fUUWer3lGi5J_HoPaz4qTOzMl_asFv6CpZfQnbn4U7W4XAFouTBDF_bw9itUXg3I8pVbfRBKsqANkwauWcILkHGuVFnOK4gmcvk7CkKezDMDLnZQzkM_LPAMqVc1_vnAoqfYa4UE-,2025-10-28T19:42:58+00:00,1217,232.37200000000,38,70,0.031224,0.057518,https://liketk.it/5tbyi
https://product-images-cdn.liketoknow.it/K3MUDXTVL_P4pXCtYPg9_rdzzwiSLBKGXZtairJvAz7cxzXOb5SIuMPTJOGGiNdDzdAYCmZCFk7pEv5eR9yiikNb2M4.obZFwCMelliIZfiBxTD.co5c89rnvktWRJ8IRhfsw7AyjNN9.LzEHF61rI9dfeuZtmCu0W92fmntPFiTVbnTemO5AOhE5pc-,2025-11-08T19:36:31+00:00,629,195.34900000000,18,36,0.028616,0.057233,https://liketk.it/5w5KW
https://product-images-cdn.liketoknow.it/AacGOLWLlatButZAIPQc7EEMugND76_YLDWmcDSeCX9D7Xxv7yYPdXwC3Qyk9fRoEpEPZvpKQ2VZZIEXNImeL4pk95lY4oxIw7toBDVpouyp_wTX4GlcfVB.Q5Vjxvrs3QvPJFU1J6r8Te5r0EnpvcMZTfxhzS2fLu.kXvQn9EflY638b3LYOnHS4LM-,2025-10-09T20:52:24+00:00,866,159.07500000000,17,29,0.019630,0.033487,https://liketk.it/5qJoi
https://product-images-cdn.liketoknow.it/Q3MGx5Tm.XTbkAHwUQp4VEnD.kQeliqROgYpElixPef8.SdfrmY4HOYPVp03A6cGxXAdMu2lcClIQpc1zUcoCVt9YOMSIh.EA.B_uwlK23ffGkVOgSc6Hx9QM40NGLUy2obGapbMxIXbBOczkIXdzOMzHIoEmEw.aYdyABzrlvLE9UEcoysuYhF09jY-,2025-11-09T10:38:42+00:00,248,134.91800000000,10,34,0.040322,0.137096,https://liketk.it/5wgr5
https://product-images-cdn.liketoknow.it/fw5b4hHeRg.Brp3aSMyepTaSot.8ZhpxoHgZenknzXUCrkjWLy3GVliVQgV7ATEMQpfSBsWUEsT.5vxFAsWAzJqLqkhNvlOF0YX4t_2eYk76q6efaWgK5Ur9WNAs4.G7txLX6G4XWx79eg63JSJA8lZEzs4DAp4BtVkNsZ9yMntoeOCp.cQNnPwcCyI-,2025-11-08T23:11:05+00:00,457,131.85900000000,17,34,0.037199,0.074398,https://liketk.it/5w95J
https://product-images-cdn.liketoknow.it/nKwmAz0TuO6di4ZekdUuFCC2pnDpFB8RHlboiQzyLSX3wvfhhAQdVULA8EurEU2aws44XsKGuxsH_9L56Jpp61JnHRV_JMgxF_3_mLs3CIgPlUH_5zgjzqWKB7Cm1E00SIhVfn8CFvZHArw.q.z8scykvvssRK2V7fs890kAiAs_K4XEo0Lz8qSkbcE-,2025-10-18T20:21:20+00:00,2,130.64100000000,2,9,1.000000,4.500000,https://liketk.it/5ryCI
